,country,1950,2020,sr_mean,gdp_mean,gdp_growth_mean,dem_index_mean,mil_exp_mean,cars_mean,alc_cons_mean
126,Turkmenistan,96.1,97.0,96.55,3621.935483870968,4.257940312500001,17.584615384615386,2.688333333333333,106.0,4.8149999999999995
127,Uganda,99.5,99.1,99.3,439.3611111111111,4.095328125,51.42307692307692,2.1898750000000002,6.5,14.149999999999999
128,Ukraine,75.2,86.0,80.6,2814.516129032258,1.7826250000000001,61.25384615384616,2.867,133.4,15.366666666666667
129,United Arab Emirates,103.0,250.0,176.5,65058.13953488372,13.162015625,26.06153846153846,5.485,313.0,0.53
130,United Kingdom,92.6,97.7,95.15,27855.172413793105,2.35428125,82.6,3.706034482758621,511.0,13.3
131,United States,99.6,98.1,98.85,35246.55172413793,3.2443906250000003,81.11538461538461,5.273620689655172,774.75,9.57
132,Uruguay,102.0,93.7,97.85,7959.6551724137935,2.3272171874999996,81.36153846153849,2.992826086956522,176.0,8.565000000000001
133,Venezuela,104.0,98.7,101.35,13172.90909090909,3.7149125,48.96923076923077,1.8635,147.0,7.915
134,Vietnam,97.5,98.0,97.75,892.4117647058823,4.72448125,30.169230769230772,3.1621739130434783,10.75,3.84
135,Yemen,102.0,102.0,102.0,1078.6666666666667,4.602875000000001,26.092307692307692,5.3031999999999995,34.8,0.2
136,Zambia,99.1,98.5,98.8,1299.551724137931,3.482821875,58.115384615384606,2.068275862068966,17.7,3.705
137,Zimbabwe,99.4,95.3,97.35,1073.655172413793,3.0793125,27.830769230769235,3.92496,106.0,5.02
